epoch,loss,running_cost,terminal_cost,cHJB,cHJBfin,cadj,cadjfin,time_per_epoch,grad_norm,lr,max_fp_itrs,max_fp_res_norm,memory_MB,max_memory_MB,gpu_memory_MB,gpu_max_memory_MB,work_units,max_grad_H,avg_grad_H,smallest_M_sdval,largest_M_sdval,smallest_lambda_min,largest_lambda_max,max_grad_T_u,avg_grad_T_u,sd_grad_T_u,angle,lin_residual,exploration_std
11,11.330024901777506,0.057637397199869156,2.2544775009155273,0.0,0.0,0.0,0.0,3.5443668365478516,0.07777782778343578,0.001,109,9.644031524658203e-05,75.265625,75.265625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002508180388249457,0.45219103750440215
12,11.307619988918304,0.055186927318573,2.2504866123199463,0.0,0.0,0.0,0.0,3.8589768409729004,0.07467694051532169,0.001,108,9.679794311523438e-05,64.234375,64.234375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0025335367349907756,0.44766912712935814
13,11.285906091332436,0.05310322344303131,2.246560573577881,0.0,0.0,0.0,0.0,4.28822922706604,0.0719067536541757,0.001,105,9.942054748535156e-05,52.9375,52.9375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002498658059630543,0.44319243585806456
14,11.265009462833405,0.05145174264907837,2.2427115440368652,0.0,0.0,0.0,0.0,3.594294786453247,0.06937784785462396,0.001,102,9.59634780883789e-05,69.015625,69.015625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024619182012975216,0.4387605114994839
15,11.244526598602533,0.05007574334740639,2.2388901710510254,0.0,0.0,0.0,0.0,4.607364892959595,0.06703744542694472,0.001,98,9.632110595703125e-05,45.953125,45.953125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024381568003445865,0.43437290638448905
16,11.224914155900478,0.04910167306661606,2.2351624965667725,0.0,0.0,0.0,0.0,4.743839979171753,0.06504670030488893,0.001,94,9.524822235107422e-05,46.859375,46.859375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023022869625128808,0.43002917732064416
17,11.205898512154818,0.048457372933626175,2.2314882278442383,0.0,0.0,0.0,0.0,5.844830751419067,0.06322351654547387,0.001,90,9.262561798095703e-05,49.390625,49.390625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0025289454055018724,0.4257288855474377
18,11.18764603510499,0.0481649674475193,2.227896213531494,0.0,0.0,0.0,0.0,3.600253105163574,0.06163905317445421,0.001,85,9.918212890625e-05,54.28125,54.28125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002395759760402143,0.4214715966919633
19,11.16979480534792,0.04809022694826126,2.2243409156799316,0.0,0.0,0.0,0.0,3.6796915531158447,0.060117055712990614,0.001,82,9.036064147949219e-05,52.828125,52.828125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024172078841365875,0.4172568807250437
20,11.152648892253637,0.04835483059287071,2.2208588123321533,0.0,0.0,0.0,0.0,3.533820152282715,0.05883741009157572,0.001,78,9.298324584960938e-05,72.921875,72.921875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024103330844081937,0.41308431191779327
21,11.135780602693558,0.048867255449295044,2.2173826694488525,0.0,0.0,0.0,0.0,3.5984559059143066,0.05764710241299621,0.001,74,9.72747802734375e-05,49.734375,49.734375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024268235778436066,0.4089534687986153
22,11.119575757533312,0.049656886607408524,2.2139837741851807,0.0,0.0,0.0,0.0,3.5403058528900146,0.05665255509377191,0.001,71,9.34600830078125e-05,49.265625,49.265625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002320482486393303,0.40486393411062915
23,11.10372281447053,0.050605300813913345,2.2106235027313232,0.0,0.0,0.0,0.0,3.4923648834228516,0.05559178069234151,0.001,68,9.1552734375e-05,52.40625,52.40625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023312322911806403,0.4008152947695229
24,11.088137038052082,0.05186856538057327,2.2072536945343018,0.0,0.0,0.0,0.0,3.50209379196167,0.054633738021422545,0.001,65,9.059906005859375e-05,51.921875,51.921875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024038520362228157,0.39680714182182764
25,11.072975356131792,0.05330200865864754,2.203934669494629,0.0,0.0,0.0,0.0,3.4169869422912598,0.0537107763922442,0.001,62,9.1552734375e-05,73.328125,73.328125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002375674278009683,0.3928390704036094
26,11.05813268572092,0.05503777414560318,2.2006189823150635,0.0,0.0,0.0,0.0,3.5333168506622314,0.05290120501829147,0.001,59,9.751319885253906e-05,86.4375,86.4375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023711762321181593,0.38891067969957327
27,11.04364601150155,0.05694833770394325,2.1973395347595215,0.0,0.0,0.0,0.0,3.568472146987915,0.05201377155222691,0.001,57,8.726119995117188e-05,75.15625,75.15625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023727638740092516,0.38502157290257755
28,11.029600773006678,0.059121523052453995,2.1940958499908447,0.0,0.0,0.0,0.0,3.534285068511963,0.05120659651485201,0.001,54,9.393692016601562e-05,67.671875,67.671875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022467631520703434,0.3811713571735518
29,11.015822552144527,0.06144728511571884,2.1908750534057617,0.0,0.0,0.0,0.0,3.295151948928833,0.050379539089537594,0.001,52,8.845329284667969e-05,84.59375,84.59375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023438865900970995,0.37735964360181623
30,11.002449996769428,0.06406546384096146,2.1876769065856934,0.0,0.0,0.0,0.0,3.4158880710601807,0.04959554127282253,0.001,50,8.463859558105469e-05,65.296875,65.296875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024514246848411857,0.3735860471657981
31,10.989347107708454,0.0668257549405098,2.184504270553589,0.0,0.0,0.0,0.0,3.227421998977661,0.048752405813148894,0.001,48,8.296966552734375e-05,85.703125,85.703125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023147158441133796,0.3698501866941401
32,10.976590782403946,0.06978955864906311,2.1813602447509766,0.0,0.0,0.0,0.0,3.162616014480591,0.047861501009799155,0.001,46,7.963180541992188e-05,68.3125,68.3125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024295156891457736,0.3661516848271987
33,10.964017502963543,0.07293760031461716,2.178215980529785,0.0,0.0,0.0,0.0,3.0940768718719482,0.046953535067676536,0.001,44,8.082389831542969e-05,86.484375,86.484375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002420910324435681,0.3624901679789267
34,10.95171931385994,0.07627370953559875,2.175089120864868,0.0,0.0,0.0,0.0,3.145592212677002,0.04603192692510002,0.001,42,9.036064147949219e-05,91.046875,91.046875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.00227050059242174,0.3588652662991374
35,10.93971736729145,0.07980592548847198,2.1719822883605957,0.0,0.0,0.0,0.0,3.008241891860962,0.044964135069023005,0.001,40,9.72747802734375e-05,79.0625,79.0625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002374592942651361,0.35527661363614604
36,10.928099423646927,0.08353617787361145,2.168912649154663,0.0,0.0,0.0,0.0,3.022368907928467,0.04392068881250369,0.001,39,8.487701416015625e-05,66.5625,66.5625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002351558564696461,0.3517238474997846
37,10.916762076318264,0.08732172101736069,2.1658880710601807,0.0,0.0,0.0,0.0,3.046248197555542,0.042774786497810545,0.001,37,9.942054748535156e-05,65.453125,65.453125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024073419417254627,0.34820660902478673
38,10.905649468302727,0.09133557975292206,2.162862777709961,0.0,0.0,0.0,0.0,2.9816009998321533,0.041568926394090766,0.001,36,8.940696716308594e-05,86.765625,86.765625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022335989912971852,0.34472454293453886
39,10.894948303699493,0.09545689821243286,2.159898281097412,0.0,0.0,0.0,0.0,2.8661389350891113,0.04031508959818281,0.001,35,7.963180541992188e-05,92.21875,92.21875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022632910194806755,0.3412772975051935
40,10.884634621441364,0.09961283951997757,2.1570043563842773,0.0,0.0,0.0,0.0,2.8491640090942383,0.039002016251926994,0.001,34,7.2479248046875e-05,64.6875,64.6875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002300445646978915,0.33786452453014154
